index,Artist Name,Artist_id,Track Name,Track ID,Popularity,acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Mode,Loudness,Tempo,Time_signature,Speechiness,Valence,Genre
128,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",12PNcnMsjsZ3eHm62t8hiy,68,0.0139,0.545,232507,0.781,0.0,10,0.161,1,-3.616,150.097,4,0.185,0.277,hip hop
103,Mac Miller,4LLpKhyESsyAXpc4laK94U,Kool Aid & Frozen Pizza,2TyjVO7KBdGHBvQxAnFFsa,68,0.154,0.657,157540,0.845,0.0,11,0.294,1,-4.57,89.835,4,0.3,0.706,hip hop
273,Usher,23zg3TcAtWQy7J6upgbUnj,More - RedOne Jimmy Joker Remix,0aBKFfdyOD1Ttvgv0cfjjJ,67,0.00166,0.551,219987,0.893,0.0,7,0.348,1,-2.628,125.083,4,0.0543,0.794,pop
78,Josh Turner,7vCtweS8UVAXTyau2j0rDT,Why Don't We Just Dance,2p07VcUwRZ5sru3mJ0JogS,67,0.42,0.677,192800,0.776,0.000689,5,0.0954,1,-5.933,121.834,4,0.0386,0.642,country
159,Bullet For My Valentine,7iWiAD5LLKyiox2grgfmUT,Your Betrayal,25GC50HslaaruyrKjdu0lP,67,8.07e-05,0.569,291427,0.883,7.74e-05,2,0.0883,0,-4.41,134.001,4,0.0748,0.373,alternative metal
158,Train,3FUY2gzHeIiaesXtOAdB7A,Marry Me,2MWOqewf5j0qf2b6S5J6cS,67,0.834,0.461,205453,0.267,2.03e-05,0,0.107,1,-8.514,87.918,4,0.0278,0.481,pop
175,T.I.,4OBJLual30L7gRl5UkeRcT,That's All She Wrote,6XAA7T9VHcqKQSzjmXAJ8o,67,0.0328,0.496,318360,0.785,0.0,7,0.0941,1,-3.472,170.02,4,0.306,0.357,hip hop
81,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,Lights,11ozIUBoXAgRTVWelDn4pL,67,0.0721,0.703,244267,0.731,0.00191,8,0.138,0,-6.283,120.028,4,0.0311,0.719,edm
87,My Darkest Days,64g59lHsc4g2jMFokrKDGW,Porn Star Dancing,3Q8zopc4ABXhysDb1sgLVW,67,0.0139,0.477,199013,0.917,0.0,2,0.0756,1,-3.399,160.021,4,0.0814,0.267,alternative metal
75,Sick Puppies,7qAcXJgt1PWnxwUgxMdyuk,You're Going Down,5omWAB5iNMHvbAfBSzkdu8,67,0.0116,0.488,187347,0.842,0.00127,6,0.146,1,-5.926,90.003,4,0.0469,0.41,alternative metal
65,The Band Perry,75FnCoo4FBxH5K1Rrx0k5A,If I Die Young,4u26EevCNXMhlvE1xFBJwX,67,0.348,0.606,222773,0.497,0.0,4,0.275,1,-6.611,130.739,4,0.0277,0.362,country
123,Mike Posner,2KsP6tYLJlTBvSUxnwlVWa,Please Don't Go,6jg5SRvdGxvJ0DzNV0UqEK,67,0.00296,0.699,196813,0.882,0.0544,4,0.13,0,-3.896,120.016,4,0.0311,0.657,edm
86,Ludacris,3ipn9JLAPI5GUEo4y4jcoi,My Chick Bad,3bMNprrp2JDKZsGbiXpsJl,67,0.172,0.624,216933,0.723,0.0,1,0.483,1,-6.782,84.789,4,0.378,0.757,hip hop
